"interfaceId","interfaceOrder001","interfaceOrder002","setId","setOrder001","setOrder002","phaseId","trialId","command__t","command__x","command__y","command__w","command__h","command__p","command__n","sameParent","time","correct"
"0","0","1","1","1","0","0","1","Center text","351","125","28","20","0","3","False","3944","True"
"0","0","1","1","1","0","0","2","Italicize text","35","125","28","20","0","1","True","2854","True"
"0","0","1","1","1","0","0","3","Change left margin","255","125","43","20","1","3","False","16796","False"
"0","0","1","1","1","0","0","4","Change cell lines","1002","120","45","30","3","1","False","8733","False"
"0","0","1","1","1","0","0","5","Insert text box","1040","95","50","55","0","5","False","8229","False"
"0","0","1","1","1","0","0","6","Change size","67","92","55","58","1","1","False","6273","True"
"0","0","1","1","1","0","0","7","Center text","351","125","28","20","0","3","False","2278","True"
"0","0","1","1","1","0","0","8","Change left margin","255","125","43","20","1","3","False","3206","True"
"0","0","1","1","1","0","0","9","Change cell lines","1002","120","45","30","3","1","False","3408","True"
"0","0","1","1","1","0","0","10","Insert text box","1040","95","50","55","0","5","False","2958","True"
"0","0","1","1","1","0","0","11","Change size","67","92","55","58","1","1","False","2724","True"
"0","0","1","1","1","0","0","12","Italicize text","35","125","28","20","0","1","False","2114","True"
"0","0","1","1","1","0","0","13","Change size","67","92","55","58","1","1","False","2930","True"
"0","0","1","1","1","0","0","14","Italicize text","35","125","28","20","0","1","False","1758","True"
"0","0","1","1","1","0","0","15","Change left margin","255","125","43","20","1","3","False","2474","True"
"0","0","1","1","1","0","0","16","Center text","351","125","28","20","0","3","False","2682","True"
"0","0","1","1","1","0","0","17","Insert text box","1040","95","50","55","0","5","True","7022","False"
"0","0","1","1","1","0","0","18","Change cell lines","1002","120","45","30","3","1","False","2922","True"
"0","0","1","1","1","0","1","1","Italicize text","35","125","28","20","0","1","False","2552","True"
"0","0","1","1","1","0","1","2","Change cell lines","1002","120","45","30","3","1","False","2486","True"
"0","0","1","1","1","0","1","3","Insert text box","1040","95","50","55","0","5","False","4369","True"
"0","0","1","1","1","0","1","4","Change left margin","255","125","43","20","1","3","False","2170","True"
"0","0","1","1","1","0","1","5","Change size","67","92","55","58","1","1","True","2482","True"
"0","0","1","1","1","0","1","6","Center text","351","125","28","20","0","3","False","3038","True"
"0","0","1","1","1","0","1","7","Change cell lines","1002","120","45","30","3","1","False","2710","True"
"0","0","1","1","1","0","1","8","Center text","351","125","28","20","0","3","False","2498","True"
"0","0","1","1","1","0","1","9","Change size","67","92","55","58","1","1","False","4097","True"
"0","0","1","1","1","0","1","10","Insert text box","1040","95","50","55","0","5","False","2767","True"
"0","0","1","1","1","0","1","11","Change left margin","255","125","43","20","1","3","False","2270","True"
"0","0","1","1","1","0","1","12","Italicize text","35","125","28","20","0","1","False","2330","True"
"0","0","1","1","1","0","1","13","Change left margin","255","125","43","20","1","3","False","2422","True"
"0","0","1","1","1","0","1","14","Insert text box","1040","95","50","55","0","5","False","4496","True"
"0","0","1","1","1","0","1","15","Center text","351","125","28","20","0","3","True","1652","True"
"0","0","1","1","1","0","1","16","Change size","67","92","55","58","1","1","False","2156","True"
"0","0","1","1","1","0","1","17","Italicize text","35","125","28","20","0","1","False","1819","True"
"0","0","1","1","1","0","1","18","Change cell lines","1002","120","45","30","3","1","False","2862","True"
"0","0","1","1","1","0","1","19","Center text","351","125","28","20","0","3","False","1792","True"
"0","0","1","1","1","0","1","20","Change size","67","92","55","58","1","1","False","1620","True"
"0","0","1","1","1","0","1","21","Insert text box","1040","95","50","55","0","5","False","2282","True"
"0","0","1","1","1","0","1","22","Change left margin","255","125","43","20","1","3","False","2234","True"
"0","0","1","1","1","0","1","23","Change cell lines","1002","120","45","30","3","1","False","2579","True"
"0","0","1","1","1","0","1","24","Italicize text","35","125","28","20","0","1","False","1876","True"
"0","0","1","1","1","0","1","25","Center text","351","125","28","20","0","3","True","1400","True"
"0","0","1","1","1","0","1","26","Change size","67","92","55","58","1","1","False","4040","False"
"0","0","1","1","1","0","1","27","Insert text box","1040","95","50","55","0","5","False","2141","True"
"0","0","1","1","1","0","1","28","Change cell lines","1002","120","45","30","3","1","False","2636","True"
"0","0","1","1","1","0","1","29","Change left margin","255","125","43","20","1","3","False","2849","False"
"0","0","1","1","1","0","1","30","Italicize text","35","125","28","20","0","1","False","1959","True"
"0","0","1","1","1","0","1","31","Change cell lines","1002","120","45","30","3","1","False","5499","True"
"0","0","1","1","1","0","1","32","Insert text box","1040","95","50","55","0","5","False","2322","True"
"0","0","1","1","1","0","1","33","Change size","67","92","55","58","1","1","False","2666","True"
"0","0","1","1","1","0","1","34","Change left margin","255","125","43","20","1","3","True","1271","True"
"0","0","1","1","1","0","1","35","Italicize text","35","125","28","20","0","1","False","1968","True"
"0","0","1","1","1","0","1","36","Center text","351","125","28","20","0","3","True","1328","True"
"1","0","1","0","1","0","0","1","Justify text","407","125","28","20","0","2","False","10233","False"
"1","0","1","0","1","0","0","2","Change bottom margin","350","195","45","20","1","2","False","2514","True"
"1","0","1","0","1","0","0","3","Change orientation","7","192","60","58","1","0","True","1890","True"
"1","0","1","0","1","0","0","4","Insert picture","1140","95","50","55","0","4","False","4044","True"
"1","0","1","0","1","0","0","5","Change cell shading","1002","390","45","30","3","0","False","7080","False"
"1","0","1","0","1","0","0","6","Bold text","9","125","28","20","0","0","False","2184","True"
"1","0","1","0","1","0","0","7","Insert picture","1140","95","50","55","0","4","True","1800","True"
"1","0","1","0","1","0","0","8","Bold text","9","125","28","20","0","0","True","1626","True"
"1","0","1","0","1","0","0","9","Change bottom margin","350","195","45","20","1","2","False","5302","False"
"1","0","1","0","1","0","0","10","Change orientation","7","192","60","58","1","0","True","7372","True"
"1","0","1","0","1","0","0","11","Change cell shading","1002","390","45","30","3","0","False","1711","True"
"1","0","1","0","1","0","0","12","Justify text","407","125","28","20","0","2","False","1697","True"
"1","0","1","0","1","0","0","13","Change cell shading","1002","390","45","30","3","0","False","2126","True"
"1","0","1","0","1","0","0","14","Change orientation","7","192","60","58","1","0","False","3717","True"
"1","0","1","0","1","0","0","15","Insert picture","1140","95","50","55","0","4","False","1438","True"
"1","0","1","0","1","0","0","16","Justify text","407","125","28","20","0","2","True","1456","True"
"1","0","1","0","1","0","0","17","Bold text","9","125","28","20","0","0","True","1317","True"
"1","0","1","0","1","0","0","18","Change bottom margin","350","195","45","20","1","2","False","1488","True"
"1","0","1","0","1","0","1","1","Justify text","407","125","28","20","0","2","False","1998","True"
"1","0","1","0","1","0","1","2","Change bottom margin","350","195","45","20","1","2","False","3073","False"
"1","0","1","0","1","0","1","3","Insert picture","1140","95","50","55","0","4","False","2070","True"
"1","0","1","0","1","0","1","4","Change orientation","7","192","60","58","1","0","False","1386","True"
"1","0","1","0","1","0","1","5","Bold text","9","125","28","20","0","0","False","1482","True"
"1","0","1","0","1","0","1","6","Change cell shading","1002","390","45","30","3","0","False","3650","True"
"1","0","1","0","1","0","1","7","Change cell shading","1002","390","45","30","3","0","True","1312","True"
"1","0","1","0","1","0","1","8","Justify text","407","125","28","20","0","2","False","3236","True"
"1","0","1","0","1","0","1","9","Change bottom margin","350","195","45","20","1","2","False","1942","False"
"1","0","1","0","1","0","1","10","Change orientation","7","192","60","58","1","0","True","2042","True"
"1","0","1","0","1","0","1","11","Insert picture","1140","95","50","55","0","4","False","1398","True"
"1","0","1","0","1","0","1","12","Bold text","9","125","28","20","0","0","True","1524","True"
"1","0","1","0","1","0","1","13","Bold text","9","125","28","20","0","0","True","1216","True"
"1","0","1","0","1","0","1","14","Insert picture","1140","95","50","55","0","4","True","1474","True"
"1","0","1","0","1","0","1","15","Change bottom margin","350","195","45","20","1","2","False","1443","True"
"1","0","1","0","1","0","1","16","Change cell shading","1002","390","45","30","3","0","False","1383","True"
"1","0","1","0","1","0","1","17","Change orientation","7","192","60","58","1","0","False","1178","True"
"1","0","1","0","1","0","1","18","Justify text","407","125","28","20","0","2","False","1798","True"
"1","0","1","0","1","0","1","19","Change cell shading","1002","390","45","30","3","0","False","1777","True"
"1","0","1","0","1","0","1","20","Justify text","407","125","28","20","0","2","False","1409","True"
"1","0","1","0","1","0","1","21","Change orientation","7","192","60","58","1","0","False","1387","True"
"1","0","1","0","1","0","1","22","Change bottom margin","350","195","45","20","1","2","True","1650","True"
"1","0","1","0","1","0","1","23","Insert picture","1140","95","50","55","0","4","False","1795","False"
"1","0","1","0","1","0","1","24","Bold text","9","125","28","20","0","0","True","1257","True"
