participant,type,order,interface,parent,time
p01,in person,"cm, r",cm,diff,1965.206897
p01,in person,"cm, r",cm,same,1985.714286
p01,in person,"cm, r",r,diff,3340.033333
p01,in person,"cm, r",r,same,1606.5
p02,in person,"r, cm",cm,diff,1993.56
p02,in person,"r, cm",cm,same,1922.272727
p02,in person,"r, cm",r,diff,3346.965517
p02,in person,"r, cm",r,same,2468.714286
p03,in person,"r, cm",cm,diff,2296.416667
p03,in person,"r, cm",cm,same,2089.25
p03,in person,"r, cm",r,diff,3608.909091
p03,in person,"r, cm",r,same,2383.7
p04,in person,"cm, r",cm,diff,2256.179104
p04,in person,"cm, r",cm,same,2111.478261
p04,in person,"cm, r",r,diff,2938.73913
p04,in person,"cm, r",r,same,1743.761905
p05,in person,"r, cm",cm,diff,1818.68
p05,in person,"r, cm",cm,same,1492.454545
p05,in person,"r, cm",r,diff,2693.709677
p05,in person,"r, cm",r,same,1626.6
p06,in person,"cm, r",cm,diff,2200.115385
p06,in person,"cm, r",cm,same,1935.8
p06,in person,"cm, r",r,diff,3516.25
p06,in person,"cm, r",r,same,2170
p07,in person,"cm, r",cm,diff,2203.428571
p07,in person,"cm, r",cm,same,2182.428571
p07,in person,"cm, r",r,diff,3423.296296
p07,in person,"cm, r",r,same,1933.111111
p08,in person,"r, cm",cm,diff,2117.222222
p08,in person,"r, cm",cm,same,2087.571429
p08,in person,"r, cm",r,diff,3626.785714
p08,in person,"r, cm",r,same,2091.625
p09,in person,"r, cm",cm,diff,1991.230769
p09,in person,"r, cm",cm,same,2549.3
p09,in person,"r, cm",r,diff,3386.62963
p09,in person,"r, cm",r,same,2075.125
p10,in person,"r, cm",cm,diff,1687.518519
p10,in person,"r, cm",cm,same,1781.875
p10,in person,"r, cm",r,diff,2854.518519
p10,in person,"r, cm",r,same,1624.111111
p11,online friend,"cm, r",cm,diff,1871.285714
p11,online friend,"cm, r",cm,same,1853.25
p11,online friend,"cm, r",r,diff,2944.321429
p11,online friend,"cm, r",r,same,1913.375
p12,online friend,"cm, r",cm,diff,1794.866667
p12,online friend,"cm, r",cm,same,2058
p12,online friend,"cm, r",r,diff,2661.678571
p12,online friend,"cm, r",r,same,1609.875
p13,online friend,"cm, r",cm,diff,1601.576923
p13,online friend,"cm, r",cm,same,1500.1
p13,online friend,"cm, r",r,diff,3044.16
p13,online friend,"cm, r",r,same,1401.181818
p14,online friend,"r, cm",cm,diff,2077.3
p14,online friend,"r, cm",cm,same,1934.666667
p14,online friend,"r, cm",r,diff,2791.903226
p14,online friend,"r, cm",r,same,1657.6
p15,online friend,"r, cm",cm,diff,1730.6
p15,online friend,"r, cm",cm,same,1791.181818
p15,online friend,"r, cm",r,diff,2913.925926
p15,online friend,"r, cm",r,same,1643.222222
p16,online friend,"cm, r",cm,diff,1750.37037
p16,online friend,"cm, r",cm,same,1793.555556
p16,online friend,"cm, r",r,diff,3090.269231
p16,online friend,"cm, r",r,same,1676.1
p17,online friend,"r, cm",cm,diff,1347.9
