participant_id,interfaceId,interfaceOrder001,interfaceOrder002,setId,setOrder001,setOrder002,phaseId,trialId,command__t,command__x,command__y,command__w,command__h,command__p,command__n,sameParent,time,correct
9,1,0,1,1,0,1,1,11,Change size,67,192,55,58,1,1,TRUE,6501,TRUE
7,1,1,0,1,1,0,1,27,Center text,351,125,28,20,0,3,TRUE,3955,TRUE
4,1,1,0,0,0,1,1,37,Insert picture,1140,95,50,55,0,4,TRUE,3858,TRUE
4,1,1,0,0,0,1,1,56,Change bottom margin,350,195,45,20,1,2,TRUE,3255,TRUE
3,1,0,1,0,1,0,1,21,Change bottom margin,350,195,45,20,1,2,TRUE,3145,TRUE
2,1,0,1,1,0,1,1,5,Change size,67,192,55,58,1,1,TRUE,3129,TRUE
4,1,1,0,0,0,1,1,7,Justify text,407,125,28,20,0,2,TRUE,3028,TRUE
7,1,1,0,1,1,0,1,35,Insert text box,1040,95,50,55,0,5,TRUE,2946,TRUE
9,1,0,1,1,0,1,1,9,Insert text box,1040,95,50,55,0,5,TRUE,2914,TRUE
10,1,0,1,1,0,1,1,11,Change left margin,255,225,45,20,1,3,TRUE,2870,TRUE
1,1,1,0,1,1,0,1,33,Change left margin,255,225,45,20,1,3,TRUE,2678,TRUE
4,1,1,0,0,0,1,1,61,Justify text,407,125,28,20,0,2,TRUE,2592,TRUE
3,1,0,1,0,1,0,1,6,Insert picture,1140,95,50,55,0,4,TRUE,2538,TRUE
6,1,1,0,0,0,1,1,19,Justify text,407,125,28,20,0,2,TRUE,2492,TRUE
2,1,0,1,1,0,1,1,31,Center text,351,125,28,20,0,3,TRUE,2474,TRUE
8,1,0,1,0,1,0,1,13,Justify text,407,125,28,20,0,2,TRUE,2455,TRUE
4,1,1,0,0,0,1,1,26,Justify text,407,125,28,20,0,2,TRUE,2423,TRUE
8,1,0,1,0,1,0,1,9,Bold text,9,125,28,20,0,0,TRUE,2366,TRUE
9,1,0,1,1,0,1,1,7,Change cell lines,1002,420,45,30,3,1,TRUE,2342,TRUE
8,1,0,1,0,1,0,1,6,Bold text,9,125,28,20,0,0,TRUE,2341,TRUE
9,1,0,1,1,0,1,1,4,Italicize text,35,125,28,20,0,1,TRUE,2338,TRUE
1,1,1,0,1,1,0,1,31,Insert text box,1040,95,50,55,0,5,TRUE,2325,TRUE
3,1,0,1,0,1,0,1,32,Bold text,9,125,28,20,0,0,TRUE,2304,TRUE
3,1,0,1,0,1,0,1,12,Insert picture,1140,95,50,55,0,4,TRUE,2295,TRUE
2,1,0,1,1,0,1,1,23,Italicize text,35,125,28,20,0,1,TRUE,2274,TRUE
6,1,1,0,0,0,1,1,12,Insert picture,1140,95,50,55,0,4,TRUE,2243,TRUE
2,1,0,1,1,0,1,1,15,Center text,351,125,28,20,0,3,TRUE,2227,TRUE
3,1,0,1,0,1,0,1,36,Change bottom margin,350,195,45,20,1,2,TRUE,2220,TRUE
6,1,1,0,0,0,1,1,18,Bold text,9,125,28,20,0,0,TRUE,2187,TRUE
4,1,1,0,0,0,1,1,80,Insert picture,1140,95,50,55,0,4,TRUE,2164,TRUE
9,1,0,1,1,0,1,1,30,Italicize text,35,125,28,20,0,1,TRUE,2142,TRUE
1,1,1,0,1,1,0,1,28,Insert text box,1040,95,50,55,0,5,TRUE,2125,TRUE
4,1,1,0,0,0,1,1,84,Change bottom margin,350,195,45,20,1,2,TRUE,2076,TRUE
8,1,0,1,0,1,0,1,35,Justify text,407,125,28,20,0,2,TRUE,2066,TRUE
5,1,0,1,0,1,0,1,10,Change orientation,7,192,60,58,1,0,TRUE,2042,TRUE
7,1,1,0,1,1,0,1,10,Center text,351,125,28,20,0,3,TRUE,2038,TRUE
4,1,1,0,0,0,1,1,19,Insert picture,1140,95,50,55,0,4,TRUE,2032,TRUE
4,1,1,0,0,0,1,1,12,Change orientation,7,192,60,58,1,0,TRUE,2025,TRUE
3,1,0,1,0,1,0,1,30,Change bottom margin,350,195,45,20,1,2,TRUE,2020,TRUE
9,1,0,1,1,0,1,1,20,Italicize text,35,125,28,20,0,1,TRUE,2009,TRUE
2,1,0,1,1,0,1,1,9,Center text,351,125,28,20,0,3,TRUE,1986,TRUE
4,1,1,0,0,0,1,1,8,Insert picture,1140,95,50,55,0,4,TRUE,1975,TRUE
6,1,1,0,0,0,1,1,5,Bold text,9,125,28,20,0,0,TRUE,1964,TRUE
2,1,0,1,1,0,1,1,2,Center text,351,125,28,20,0,3,TRUE,1954,TRUE
4,1,1,0,0,0,1,1,18,Justify text,407,125,28,20,0,2,TRUE,1948,TRUE
4,1,1,0,0,0,1,1,76,Bold text,9,125,28,20,0,0,TRUE,1942,TRUE
7,1,1,0,1,1,0,1,11,Insert text box,1040,95,50,55,0,5,TRUE,1941,TRUE
3,1,0,1,0,1,0,1,23,Insert picture,1140,95,50,55,0,4,TRUE,1924,TRUE
3,1,0,1,0,1,0,1,19,Justify text,407,125,28,20,0,2,TRUE,1919,TRUE
9,1,0,1,1,0,1,1,28,Change size,67,192,55,58,1,1,TRUE,1906,TRUE
9,1,0,1,1,0,1,1,3,Insert text box,1040,95,50,55,0,5,TRUE,1902,TRUE
4,1,1,0,0,0,1,1,71,Bold text,9,125,28,20,0,0,TRUE,1892,TRUE
1,1,1,0,1,1,0,1,10,Center text,351,125,28,20,0,3,TRUE,1885,TRUE
4,1,1,0,0,0,1,1,53,Insert picture,1140,95,50,55,0,4,TRUE,1884,TRUE
4,1,1,0,0,0,1,1,6,Justify text,407,125,28,20,0,2,TRUE,1883,TRUE
10,1,0,1,1,0,1,1,28,Insert text box,1040,95,50,55,0,5,TRUE,1882,TRUE
8,1,0,1,0,1,0,1,11,Change orientation,7,192,60,58,1,0,TRUE,1878,TRUE
3,1,0,1,0,1,0,1,26,Insert picture,1140,95,50,55,0,4,TRUE,1872,TRUE
8,1,0,1,0,1,0,1,29,Justify text,407,125,28,20,0,2,TRUE,1870,TRUE
4,1,1,0,0,0,1,1,45,Bold text,9,125,28,20,0,0,TRUE,1867,TRUE
9,1,0,1,1,0,1,1,15,Center text,351,125,28,20,0,3,TRUE,1861,TRUE
4,1,1,0,0,0,1,1,65,Bold text,9,125,28,20,0,0,TRUE,1828,TRUE
4,1,1,0,0,0,1,1,34,Bold text,9,125,28,20,0,0,TRUE,1734,TRUE
4,1,1,0,0,0,1,1,58,Justify text,407,125,28,20,0,2,TRUE,1712,TRUE
3,1,0,1,0,1,0,1,13,Insert picture,1140,95,50,55,0,4,TRUE,1707,TRUE
4,1,1,0,0,0,1,1,38,Bold text,9,125,28,20,0,0,TRUE,1696,TRUE
5,1,0,1,0,1,0,1,28,Bold text,9,125,28,20,0,0,TRUE,1687,TRUE
1,1,1,0,1,1,0,1,24,Italicize text,35,125,28,20,0,1,TRUE,1664,TRUE
5,1,0,1,0,1,0,1,22,Change bottom margin,350,195,45,20,1,2,TRUE,1650,TRUE
10,1,0,1,1,0,1,1,34,Insert text box,1040,95,50,55,0,5,TRUE,1641,TRUE
3,1,0,1,0,1,0,1,14,Justify text,407,125,28,20,0,2,TRUE,1639,TRUE
8,1,0,1,0,1,0,1,21,Insert picture,1140,95,50,55,0,4,TRUE,1637,TRUE
6,1,1,0,0,0,1,1,27,Insert picture,1140,95,50,55,0,4,TRUE,1634,TRUE
7,1,1,0,1,1,0,1,31,Italicize text,35,125,28,20,0,1,TRUE,1631,TRUE
1,1,1,0,1,1,0,1,11,Italicize text,35,125,28,20,0,1,TRUE,1620,TRUE
4,1,1,0,0,0,1,1,31,Change bottom margin,350,195,45,20,1,2,TRUE,1619,TRUE
10,1,0,1,1,0,1,1,17,Insert text box,1040,95,50,55,0,5,TRUE,1618,TRUE
6,1,1,0,0,0,1,1,7,Change orientation,7,192,60,58,1,0,TRUE,1612,TRUE
6,1,1,0,0,0,1,1,24,Insert picture,1140,95,50,55,0,4,TRUE,1611,TRUE
4,1,1,0,0,0,1,1,23,Bold text,9,125,28,20,0,0,TRUE,1610,TRUE
1,1,1,0,1,1,0,1,13,Change size,67,192,55,58,1,1,TRUE,1603,TRUE
2,1,0,1,1,0,1,1,13,Change cell lines,1002,420,45,30,3,1,TRUE,1594,TRUE
10,1,0,1,1,0,1,1,27,Italicize text,35,125,28,20,0,1,TRUE,1582,TRUE
9,1,0,1,1,0,1,1,19,Insert text box,1040,95,50,55,0,5,TRUE,1578,TRUE
10,1,0,1,1,0,1,1,8,Insert text box,1040,95,50,55,0,5,TRUE,1578,TRUE
10,1,0,1,1,0,1,1,16,Center text,351,125,28,20,0,3,TRUE,1570,TRUE
5,1,0,1,0,1,0,1,25,Justify text,407,125,28,20,0,2,TRUE,1567,TRUE
5,1,0,1,0,1,0,1,12,Bold text,9,125,28,20,0,0,TRUE,1524,TRUE
4,1,1,0,0,0,1,1,55,Change orientation,7,192,60,58,1,0,TRUE,1521,TRUE
5,1,0,1,0,1,0,1,32,Insert picture,1140,95,50,55,0,4,TRUE,1514,TRUE
10,1,0,1,1,0,1,1,20,Insert text box,1040,95,50,55,0,5,TRUE,1514,TRUE
6,1,1,0,0,0,1,1,31,Justify text,407,125,28,20,0,2,TRUE,1497,TRUE
3,1,0,1,0,1,0,1,16,Change orientation,7,192,60,58,1,0,TRUE,1488,TRUE
5,1,0,1,0,1,0,1,14,Insert picture,1140,95,50,55,0,4,TRUE,1474,TRUE
2,1,0,1,1,0,1,1,32,Insert text box,1040,95,50,55,0,5,TRUE,1447,TRUE
7,1,1,0,1,1,0,1,7,Change size,67,192,55,58,1,1,TRUE,1416,TRUE
2,1,0,1,1,0,1,1,33,Italicize text,35,125,28,20,0,1,TRUE,1391,TRUE
7,1,1,0,1,1,0,1,29,Change left margin,255,225,45,20,1,3,TRUE,1350,TRUE
2,1,0,1,1,0,1,1,10,Italicize text,35,125,28,20,0,1,TRUE,1348,TRUE
2,1,0,1,1,0,1,1,17,Change size,67,192,55,58,1,1,TRUE,1321,TRUE
5,1,0,1,0,1,0,1,7,Change cell shading,1002,390,45,30,3,0,TRUE,1312,TRUE
5,1,0,1,0,1,0,1,24,Bold text,9,125,28,20,0,0,TRUE,1257,TRUE
5,1,0,1,0,1,0,1,13,Bold text,9,125,28,20,0,0,TRUE,1216,TRUE
5,1,0,1,0,1,0,1,30,Change orientation,7,192,60,58,1,0,TRUE,1174,TRUE
6,1,1,0,0,0,1,1,36,Bold text,9,125,28,20,0,0,TRUE,2075,FALSE
6,1,1,0,0,0,1,1,17,Insert picture,1140,95,50,55,0,4,TRUE,2043,FALSE
7,1,1,0,1,1,0,1,25,Change cell lines,1002,420,45,30,3,1,FALSE,4603,TRUE
4,1,1,0,0,0,1,1,20,Change bottom margin,350,195,45,20,1,2,FALSE,4592,TRUE
8,1,0,1,0,1,0,1,16,Change cell shading,1002,390,45,30,3,0,FALSE,4295,TRUE
2,1,0,1,1,0,1,1,18,Italicize text,35,125,28,20,0,1,FALSE,4209,TRUE
1,1,1,0,1,1,0,1,34,Italicize text,35,125,28,20,0,1,FALSE,4026,TRUE
4,1,1,0,0,0,1,1,66,Change orientation,7,192,60,58,1,0,FALSE,3976,TRUE
6,1,1,0,0,0,1,1,33,Change cell shading,1002,390,45,30,3,0,FALSE,3959,TRUE
4,1,1,0,0,0,1,1,64,Insert picture,1140,95,50,55,0,4,FALSE,3907,TRUE
4,1,1,0,0,0,1,1,82,Justify text,407,125,28,20,0,2,FALSE,3790,TRUE
7,1,1,0,1,1,0,1,3,Insert text box,1040,95,50,55,0,5,FALSE,3770,TRUE
4,1,1,0,0,0,1,1,81,Change cell shading,1002,390,45,30,3,0,FALSE,3762,TRUE
4,1,1,0,0,0,1,1,51,Change cell shading,1002,390,45,30,3,0,FALSE,3668,TRUE
5,1,0,1,0,1,0,1,6,Change cell shading,1002,390,45,30,3,0,FALSE,3650,TRUE
7,1,1,0,1,1,0,1,36,Change left margin,255,225,45,20,1,3,FALSE,3568,TRUE
4,1,1,0,0,0,1,1,88,Change bottom margin,350,195,45,20,1,2,FALSE,3486,TRUE
6,1,1,0,0,0,1,1,14,Change cell shading,1002,390,45,30,3,0,FALSE,3438,TRUE
4,1,1,0,0,0,1,1,78,Change bottom margin,350,195,45,20,1,2,FALSE,3328,TRUE
8,1,0,1,0,1,0,1,25,Change cell shading,1002,390,45,30,3,0,FALSE,3319,TRUE
4,1,1,0,0,0,1,1,24,Change orientation,7,192,60,58,1,0,FALSE,3310,TRUE
6,1,1,0,0,0,1,1,32,Change bottom margin,350,195,45,20,1,2,FALSE,3270,TRUE
8,1,0,1,0,1,0,1,7,Change cell shading,1002,390,45,30,3,0,FALSE,3253,TRUE
2,1,0,1,1,0,1,1,24,Change cell lines,1002,420,45,30,3,1,FALSE,3242,TRUE
5,1,0,1,0,1,0,1,8,Justify text,407,125,28,20,0,2,FALSE,3236,TRUE
4,1,1,0,0,0,1,1,16,Change orientation,7,192,60,58,1,0,FALSE,3163,TRUE
3,1,0,1,0,1,0,1,3,Change cell shading,1002,390,45,30,3,0,FALSE,3099,TRUE
3,1,0,1,0,1,0,1,15,Change bottom margin,350,195,45,20,1,2,FALSE,3097,TRUE
2,1,0,1,1,0,1,1,16,Change left margin,255,225,45,20,1,3,FALSE,3088,TRUE
4,1,1,0,0,0,1,1,72,Change orientation,7,192,60,58,1,0,FALSE,3083,TRUE
9,1,0,1,1,0,1,1,32,Italicize text,35,125,28,20,0,1,FALSE,3068,TRUE
7,1,1,0,1,1,0,1,2,Change cell lines,1002,420,45,30,3,1,FALSE,3054,TRUE
6,1,1,0,0,0,1,1,2,Change cell shading,1002,390,45,30,3,0,FALSE,3026,TRUE
9,1,0,1,1,0,1,1,13,Change left margin,255,225,45,20,1,3,FALSE,3012,TRUE
1,1,1,0,1,1,0,1,27,Center text,351,125,28,20,0,3,FALSE,2946,TRUE
8,1,0,1,0,1,0,1,36,Change bottom margin,350,195,45,20,1,2,FALSE,2933,TRUE
8,1,0,1,0,1,0,1,10,Change bottom margin,350,195,45,20,1,2,FALSE,2910,TRUE
9,1,0,1,1,0,1,1,24,Center text,351,125,28,20,0,3,FALSE,2832,TRUE
6,1,1,0,0,0,1,1,10,Change bottom margin,350,195,45,20,1,2,FALSE,2823,TRUE
6,1,1,0,0,0,1,1,8,Change cell shading,1002,390,45,30,3,0,FALSE,2766,TRUE
4,1,1,0,0,0,1,1,60,Bold text,9,125,28,20,0,0,FALSE,2742,TRUE
3,1,0,1,0,1,0,1,10,Change bottom margin,350,195,45,20,1,2,FALSE,2738,TRUE
4,1,1,0,0,0,1,1,4,Change bottom margin,350,195,45,20,1,2,FALSE,2714,TRUE
3,1,0,1,0,1,0,1,33,Change cell shading,1002,390,45,30,3,0,FALSE,2658,TRUE
1,1,1,0,1,1,0,1,16,Center text,351,125,28,20,0,3,FALSE,2636,TRUE
4,1,1,0,0,0,1,1,74,Change orientation,7,192,60,58,1,0,FALSE,2626,TRUE
4,1,1,0,0,0,1,1,68,Change cell shading,1002,390,45,30,3,0,FALSE,2625,TRUE
6,1,1,0,0,0,1,1,28,Change bottom margin,350,195,45,20,1,2,FALSE,2548,TRUE
9,1,0,1,1,0,1,1,34,Insert text box,1040,95,50,55,0,5,FALSE,2510,TRUE
2,1,0,1,1,0,1,1,11,Change left margin,255,225,45,20,1,3,FALSE,2476,TRUE
7,1,1,0,1,1,0,1,12,Change left margin,255,225,45,20,1,3,FALSE,2445,TRUE
7,1,1,0,1,1,0,1,22,Center text,351,125,28,20,0,3,FALSE,2438,TRUE
6,1,1,0,0,0,1,1,22,Change bottom margin,350,195,45,20,1,2,FALSE,2435,TRUE
10,1,0,1,1,0,1,1,1,Italicize text,35,125,28,20,0,1,FALSE,2426,TRUE
1,1,1,0,1,1,0,1,36,Center text,351,125,28,20,0,3,FALSE,2403,TRUE
