,0,1,2,3,4,5,6,7,8,9
0,1,1969.1944444444443,3051.1111111111113,1965.2068965517242,1985.7142857142858,3340.0333333333333,1606.5,0,2,0
1,2,1971.7777777777778,3176.1944444444443,1993.56,1922.2727272727273,3346.9655172413795,2468.714285714286,1,4,0
2,3,2227.3611111111113,3226.03125,2296.4166666666665,2089.25,3608.909090909091,2383.7,4,5,0
3,4,2219.2,2659.911111111111,2256.179104477612,2111.478260869565,2938.7391304347825,1743.7619047619048,1,2,0
4,5,1719.0,2545.5,1818.68,1492.4545454545455,2693.7096774193546,1626.6,4,2,0
5,6,2126.6944444444443,3217.0833333333335,2200.1153846153848,1935.8,3516.25,2170.0,3,6,0
6,7,2199.2285714285713,3050.75,2203.4285714285716,2182.4285714285716,3423.296296296296,1933.111111111111,2,7,0
7,8,2111.1176470588234,3285.6388888888887,2117.222222222222,2087.5714285714284,3626.785714285714,2091.625,3,5,0
8,9,2146.25,3086.8571428571427,1991.2307692307693,2549.3,3386.6296296296296,2075.125,2,7,0
9,10,1709.0857142857142,2546.9166666666665,1687.5185185185185,1781.875,2854.5185185185187,1624.111111111111,1,6,0
